"","AlertCategory","NetworkEventType","NetworkInteractionType","DataTransferVolume_IN","DataTransferVolume_OUT","TransactionsPerSession","NetworkAccessFrequency","UserActivityLevel","SessionIntegrityCheck","ResourceUtilizationFlag","SecurityRiskLevel","ResponseTime","Classification"
"430575","Warning","NormalOperation","Critical",129958025,91533119,21440,26615,5,FALSE,FALSE,163781911,18.67594,"Normal"
"266962","Warning","PolicyViolation","Anomalous",127357644,113025808,26573,45392,6,TRUE,FALSE,179421250,25.80886,"Normal"
"249485","Warning","PolicyViolation","Suspicious",168550421,114683569,32340,34038,5,TRUE,FALSE,171387982,26.4755,"Normal"
"40466","Warning","PolicyViolation","Anomalous",142386183,122563557,27605,44167,5,FALSE,FALSE,176797589,42.87606,"Normal"
"334835","Informational","PolicyViolation","Anomalous",130345028,123330122,29621,34782,7,TRUE,FALSE,129859397,30.09234,"Normal"
"377087","Warning","PolicyViolation","Suspicious",125798328,164750318,35763,32424,5,FALSE,FALSE,197329836,40.91678,"Normal"
"136121","Warning","PolicyViolation","Suspicious",137490402,178467286,41541,35913,7,TRUE,FALSE,117064871,24.33728,"Normal"
"429283","Warning","PolicyViolation","Suspicious",136500418,186932458,44131,37957,8,FALSE,FALSE,131781351,18.77407,"Normal"
"45045","Warning","PolicyViolation","Suspicious",123007537,170712159,38338,33384,5,TRUE,TRUE,131156769,35.29638,"Normal"
"142576","Warning","PolicyViolation","Suspicious",128053192,145750364,33875,28022,6,FALSE,FALSE,129752960,30.98213,"Normal"
"102507","Informational","PolicyViolation","Suspicious",126186772,168917510,40008,27799,8,FALSE,FALSE,154321733,26.41965,"Normal"
"161797","Warning","PolicyViolation","Suspicious",129349718,156736639,37936,41206,8,FALSE,FALSE,161084643,32.94939,"Normal"
"469078","Warning","PolicyViolation","Suspicious",129760362,151751541,34067,29940,5,FALSE,TRUE,150710322,27.8996,"Normal"
"205356","Warning","PolicyViolation","Suspicious",139963694,196077295,43734,28647,6,TRUE,FALSE,173649914,33.06319,"Normal"
"230585","Warning","PolicyViolation","Anomalous",122880333,98898969,22031,39858,4,TRUE,FALSE,106414913,31.60753,"Normal"
"5236","Informational","PolicyViolation","Elevated",187732956,93509896,32218,40209,6,FALSE,FALSE,177066823,40.25364,"Normal"
"249621","Warning","PolicyViolation","Suspicious",126064716,157396633,35485,42092,6,TRUE,FALSE,131556597,29.14803,"Normal"
"412778","Warning","PolicyViolation","Suspicious",129172329,174922119,38511,38974,5,TRUE,TRUE,106757374,34.57557,"Normal"
"265883","Warning","PolicyViolation","Anomalous",132335144,125585814,28726,20779,6,FALSE,FALSE,151845849,16.64389,"Normal"
"36711","Warning","NormalOperation","Suspicious",138067570,115652349,29116,30820,6,TRUE,FALSE,189789502,17.93018,"Normal"
"294887","Warning","PolicyViolation","Suspicious",120366782,158090958,34073,38650,5,TRUE,TRUE,76971960,31.24405,"Normal"
"91569","Warning","PolicyViolation","Suspicious",129037203,159984977,36750,35731,6,FALSE,FALSE,181858781,30.63515,"Normal"
"221567","Warning","PolicyViolation","Suspicious",121195071,175947098,38663,39135,6,FALSE,FALSE,95488072,21.50678,"Normal"
"190070","Informational","ThreatDetected","Elevated",130393872,183407823,40679,48519,5,TRUE,TRUE,111072141,39.89493,"Normal"
"165655","Warning","PolicyViolation","Suspicious",132476412,172646341,39150,38411,7,FALSE,FALSE,193752669,41.4763,"Normal"
"93911","Warning","PolicyViolation","Suspicious",140194591,176862803,41397,34888,7,FALSE,FALSE,148218249,37.3516,"Normal"
"427845","Warning","PolicyViolation","Suspicious",127203930,175679738,38042,30725,5,FALSE,FALSE,208932017,41.73123,"Normal"
"155283","Warning","PolicyViolation","Suspicious",125311234,144980565,31733,31717,4,FALSE,TRUE,118633077,33.82659,"Normal"
"394926","Warning","PolicyViolation","Anomalous",138014826,148895039,32241,28726,4,TRUE,FALSE,174372621,22.96922,"Normal"
"273644","Warning","PolicyViolation","Critical",127834974,101814593,23636,36990,6,FALSE,FALSE,231524911,34.44578,"Normal"
"264863","Warning","PolicyViolation","Anomalous",121390311,113949108,25368,24263,5,FALSE,FALSE,137886887,27.07499,"Normal"
"430360","Warning","PolicyViolation","Suspicious",132314446,202292767,45377,45530,7,TRUE,FALSE,137892108,25.0774,"Normal"
"211598","Informational","NormalOperation","Suspicious",128137596,136686213,32243,38285,6,TRUE,FALSE,112441919,36.7558,"Normal"
"402440","Warning","PolicyViolation","Suspicious",134025507,166498689,37058,42644,6,TRUE,FALSE,149708896,36.525,"Normal"
"82429","Warning","PolicyViolation","Anomalous",136107763,129870437,28458,40119,5,FALSE,FALSE,181067065,26.95814,"Normal"
"420112","Warning","PolicyViolation","Anomalous",132728809,128342761,29649,31351,6,FALSE,FALSE,170787334,26.81666,"Normal"
"205744","Warning","PolicyViolation","Anomalous",129849712,138287374,32898,42065,7,TRUE,FALSE,143160284,34.51034,"Normal"
"49709","Warning","PolicyViolation","Anomalous",136537233,107269109,25288,30831,6,FALSE,FALSE,172538905,31.88348,"Normal"
"473210","Warning","ThreatDetected","Anomalous",133336805,134961237,29030,42332,4,FALSE,FALSE,179002089,30.79895,"Normal"
"110218","Warning","ThreatDetected","Suspicious",125563822,157259389,35070,30877,6,FALSE,FALSE,123864836,25.22769,"Normal"
"308239","Warning","PolicyViolation","Anomalous",123650848,130619689,27902,23680,5,FALSE,FALSE,133506950,43.49913,"Normal"
"442208","Warning","NormalOperation","Suspicious",128324286,170901565,36356,38970,5,FALSE,FALSE,103467983,32.14493,"Normal"
"109946","Warning","PolicyViolation","Anomalous",126714809,141144163,32517,28247,6,FALSE,FALSE,166786208,28.1711,"Normal"
"190010","Warning","PolicyViolation","Elevated",134841580,211445083,46995,31628,6,FALSE,FALSE,128493420,18.93841,"Normal"
"334789","Informational","PolicyViolation","Suspicious",125893921,159280453,34342,35538,5,TRUE,TRUE,102277384,22.34074,"Normal"
"129772","Warning","PolicyViolation","Anomalous",133513428,113571379,25141,29776,5,FALSE,FALSE,172175907,36.28251,"Normal"
"13917","Warning","PolicyViolation","Anomalous",126617235,139127594,30100,28996,5,TRUE,FALSE,118563827,21.48283,"Normal"
"261792","Warning","PolicyViolation","Suspicious",131629853,161830132,35541,18865,5,FALSE,FALSE,132682708,37.35105,"Normal"
"55275","Alert","PolicyViolation","Anomalous",129061860,118454696,27472,25948,6,FALSE,FALSE,199197849,42.26019,"Normal"
"84600","Warning","PolicyViolation","Suspicious",134783509,172226028,38928,19580,6,TRUE,FALSE,151715701,44.52646,"Normal"
"144766","Warning","PolicyViolation","Anomalous",133043919,129586689,29717,29194,6,FALSE,FALSE,181799055,21.70433,"Normal"
"146784","Alert","PolicyViolation","Critical",97242723,82219674,18418,47199,5,FALSE,TRUE,174163228,29.39965,"Normal"
"69111","Warning","PolicyViolation","Anomalous",132682928,137218159,30642,26678,5,FALSE,FALSE,202729685,25.4246,"Normal"
"395474","Warning","PolicyViolation","Anomalous",125181342,141457418,28822,32873,4,TRUE,TRUE,174037544,20.53614,"Normal"
"402671","Warning","PolicyViolation","Critical",134408611,83549585,21405,26828,6,TRUE,FALSE,187000533,32.03136,"Normal"
"459116","Warning","PolicyViolation","Suspicious",125319069,162342084,35810,39398,6,TRUE,FALSE,124927310,28.12833,"Normal"
"360910","Warning","PolicyViolation","Anomalous",130987277,143773571,30722,28759,4,TRUE,FALSE,185431258,25.68015,"Normal"
"448536","Warning","PolicyViolation","Anomalous",131139017,125783169,29555,41819,6,FALSE,FALSE,136234511,19.17729,"Normal"
"417984","Informational","ThreatDetected","Suspicious",130241758,160841654,35146,35226,5,TRUE,FALSE,213874466,30.9503,"Normal"
"299341","Warning","NormalOperation","Anomalous",127012041,144525093,31974,33231,5,FALSE,FALSE,141837424,33.12506,"Normal"
"432841","Warning","PolicyViolation","Suspicious",127199143,152043604,33956,28835,5,TRUE,FALSE,163394947,39.5833,"Normal"
"392001","Warning","PolicyViolation","Anomalous",128319040,145743119,31521,38070,5,TRUE,FALSE,126674969,23.48023,"Normal"
"415253","Warning","PolicyViolation","Anomalous",123284616,128458210,28063,37967,5,FALSE,FALSE,95102868,18.01164,"Normal"
"339832","Warning","PolicyViolation","Suspicious",135579685,166752463,37154,40377,6,TRUE,FALSE,157908513,35.88909,"Normal"
"168322","Warning","ThreatDetected","Anomalous",132964532,145526038,33471,28999,6,TRUE,FALSE,151929076,26.72128,"Normal"
"367449","Warning","PolicyViolation","Suspicious",130633469,152899432,33396,28904,5,FALSE,FALSE,174988097,29.37283,"Normal"
"19746","Warning","PolicyViolation","Suspicious",126986689,191612001,42493,44458,6,FALSE,FALSE,160809861,25.54177,"Normal"
"326512","Warning","PolicyViolation","Anomalous",129389112,159293190,35158,29045,6,FALSE,FALSE,78324880,27.23635,"Normal"
"268570","Warning","PolicyViolation","Suspicious",136303271,167457463,37460,27856,5,FALSE,FALSE,126670126,38.60282,"Normal"
"17149","Alert","PolicyViolation","Anomalous",134521108,111628565,26019,32279,5,TRUE,FALSE,185444041,23.17002,"Normal"
"460036","Warning","PolicyViolation","Suspicious",136394294,152732659,33276,24431,5,TRUE,FALSE,134492653,37.30841,"Normal"
"437935","Warning","PolicyViolation","Suspicious",145830490,194110492,43998,32777,6,TRUE,FALSE,171410996,28.81802,"Normal"
"228808","Warning","PolicyViolation","Suspicious",130938961,165431364,36628,36726,5,TRUE,FALSE,183275722,24.33075,"Normal"
"101648","Warning","PolicyViolation","Anomalous",124606429,127531605,27878,22346,5,FALSE,FALSE,147860403,20.72812,"Normal"
"443402","Warning","PolicyViolation","Suspicious",121712115,177577499,36946,32432,4,FALSE,TRUE,161946895,35.83601,"Normal"
"445291","Warning","PolicyViolation","Suspicious",128191700,155099508,33165,31248,5,FALSE,FALSE,189421708,40.35443,"Normal"
"403890","Warning","PolicyViolation","Suspicious",131657142,177218166,39378,39258,5,FALSE,FALSE,128725269,23.73022,"Normal"
"220169","Warning","PolicyViolation","Elevated",138762929,207663814,45150,47686,5,TRUE,FALSE,223750736,42.51934,"Normal"
"237748","Warning","PolicyViolation","Anomalous",128100039,119758296,27352,27070,5,TRUE,FALSE,142618695,29.54031,"Normal"
"295120","Warning","NormalOperation","Anomalous",133199254,127980163,32602,30961,8,TRUE,FALSE,140043319,34.28747,"Normal"
"71797","Warning","PolicyViolation","Anomalous",126667794,116593387,27024,19585,6,FALSE,FALSE,128408257,37.04675,"Normal"
"126720","Informational","PolicyViolation","Suspicious",134297360,173812914,38553,27301,5,TRUE,FALSE,154067032,39.63615,"Normal"
"472021","Alert","PolicyViolation","Anomalous",132737688,105779234,22256,19177,3,FALSE,FALSE,85633146,33.33025,"Normal"
"177690","Warning","PolicyViolation","Suspicious",134104971,166196424,37544,26658,6,TRUE,FALSE,130055028,20.6536,"Normal"
"195942","Warning","PolicyViolation","Suspicious",134926311,141441946,31390,31609,5,TRUE,FALSE,186976585,23.3905,"Normal"
"130678","Warning","PolicyViolation","Elevated",138203782,201871592,45090,24190,6,TRUE,FALSE,150402348,24.56696,"Normal"
"177790","Warning","PolicyViolation","Anomalous",129400784,100137438,24086,31106,5,FALSE,FALSE,145349444,21.0156,"Normal"
"17006","Warning","PolicyViolation","Suspicious",127695544,141038558,29318,29554,3,TRUE,TRUE,160346582,23.88628,"Normal"
"182180","Warning","PolicyViolation","Anomalous",162289598,84188664,24680,32785,5,TRUE,FALSE,84629811,29.56672,"Normal"
"84562","Warning","PolicyViolation","Elevated",127692390,199369467,44519,40890,6,TRUE,FALSE,148921015,33.43847,"Normal"
"401421","Alert","PolicyViolation","Suspicious",130429944,156847467,34021,32133,5,TRUE,FALSE,161801621,29.26599,"Normal"
"350281","Informational","PolicyViolation","Anomalous",137412016,141988857,32429,44228,6,FALSE,FALSE,124319550,30.00718,"Normal"
"356323","Alert","PolicyViolation","Anomalous",127077669,110416378,23276,37562,3,FALSE,TRUE,156491728,32.57257,"Normal"
"464309","Warning","PolicyViolation","Critical",127633919,88121554,21617,36178,6,FALSE,FALSE,176253434,33.4106,"Normal"
"164657","Warning","PolicyViolation","Suspicious",129625397,167514468,37108,31245,6,FALSE,FALSE,136816827,26.77728,"Normal"
"456048","Warning","PolicyViolation","Anomalous",125395569,146171278,31830,31661,5,TRUE,FALSE,115507009,16.28673,"Normal"
"73546","Warning","PolicyViolation","Anomalous",127111075,143825189,32230,26457,6,TRUE,FALSE,153865178,28.18239,"Normal"
"146484","Alert","PolicyViolation","Suspicious",128740314,153673545,33455,33344,5,TRUE,FALSE,189096716,30.5938,"Normal"
"344292","Warning","PolicyViolation","Suspicious",137987925,202724070,44263,39736,6,TRUE,FALSE,173936615,27.51364,"Normal"
"121673","Warning","PolicyViolation","Anomalous",132535961,135088822,31176,25849,6,TRUE,FALSE,168047928,23.19,"Normal"
"381174","Informational","PolicyViolation","Anomalous",137234415,97017417,24632,41048,6,TRUE,FALSE,157580683,36.32772,"Normal"
"222198","Warning","PolicyViolation","Anomalous",133018441,106684923,24619,30152,5,FALSE,FALSE,173268394,29.51133,"Normal"
"245476","Warning","NormalOperation","Suspicious",142921904,185324238,39674,39478,5,FALSE,FALSE,208919605,34.5688,"Normal"
"208814","Alert","PolicyViolation","Suspicious",128407744,165080954,34689,40378,4,FALSE,TRUE,61600391,28.17756,"Normal"
"105309","Warning","PolicyViolation","Anomalous",130412513,108767807,23881,29656,5,FALSE,FALSE,195997556,29.10239,"Normal"
"353250","Warning","PolicyViolation","Suspicious",131135838,162571244,35203,31019,5,FALSE,TRUE,98641784,23.81121,"Normal"
"42992","Warning","NormalOperation","Suspicious",133263791,160422877,37140,33803,6,TRUE,FALSE,130875828,11.40669,"Normal"
"120864","Warning","PolicyViolation","Anomalous",128547291,107470509,24783,38442,5,FALSE,FALSE,149978369,39.45349,"Normal"
"352768","Warning","PolicyViolation","Suspicious",111367986,132990183,32333,38434,7,TRUE,FALSE,170875003,29.95493,"Normal"
"232595","Warning","PolicyViolation","Suspicious",130216538,182873398,41182,34195,6,TRUE,FALSE,170463146,33.7544,"Normal"
"328480","Alert","PolicyViolation","Suspicious",135174458,167071406,37100,40466,6,FALSE,FALSE,188064540,32.36745,"Normal"
"352979","Informational","PolicyViolation","Suspicious",131936615,164712434,37644,37309,6,FALSE,FALSE,159998272,32.12685,"Normal"
"349679","Warning","PolicyViolation","Suspicious",182710593,91961311,29741,36008,6,TRUE,FALSE,134460239,32.12766,"Normal"
"92504","Warning","PolicyViolation","Suspicious",132211932,151309285,35483,37298,7,FALSE,FALSE,153450664,30.08018,"Normal"
"30188","Warning","PolicyViolation","Anomalous",124164748,115769084,25106,25148,4,TRUE,FALSE,155148322,32.28631,"Normal"
"238213","Warning","PolicyViolation","Suspicious",127818793,182078848,41353,26035,7,TRUE,FALSE,125596239,22.21926,"Normal"
"462860","Warning","NormalOperation","Elevated",133411763,208548918,47154,36766,7,FALSE,FALSE,152515568,23.64305,"Normal"
"351926","Informational","NormalOperation","Suspicious",169030201,91827523,27047,37410,5,FALSE,FALSE,132674526,29.96016,"Normal"
"296910","Warning","PolicyViolation","Anomalous",145231113,103530457,25323,39089,4,FALSE,FALSE,184192025,31.228,"Normal"
"111395","Alert","NormalOperation","Anomalous",129231502,106311806,24234,44500,5,TRUE,FALSE,134952988,18.04174,"Normal"
"168731","Warning","PolicyViolation","Anomalous",147693402,138820833,30426,41859,4,FALSE,FALSE,176295662,30.02238,"Normal"
"356704","Warning","PolicyViolation","Suspicious",132018648,177200933,40239,46415,6,FALSE,FALSE,149144435,25.39125,"Normal"
"352905","Warning","PolicyViolation","Suspicious",165265113,92014634,29851,11296,6,TRUE,FALSE,158800254,36.42047,"Normal"
"291812","Warning","PolicyViolation","Critical",134569185,74590678,18003,36742,5,FALSE,FALSE,172278446,50.03841,"Normal"
"123784","Warning","PolicyViolation","Anomalous",129545692,138425157,28877,28250,4,FALSE,TRUE,139864331,30.13049,"Normal"
"243609","Warning","PolicyViolation","Suspicious",137100236,155046710,37048,21131,7,FALSE,FALSE,143685503,27.03958,"Normal"
"371158","Warning","PolicyViolation","Anomalous",129745049,152165812,32886,34758,5,FALSE,FALSE,98143909,31.57118,"Normal"
"335797","Informational","PolicyViolation","Critical",129827317,98970789,22248,42365,5,TRUE,FALSE,147572216,35.02674,"Normal"
"450481","Informational","PolicyViolation","Suspicious",137543867,173238850,38806,37808,6,TRUE,FALSE,166462056,31.56916,"Normal"
"470083","Warning","PolicyViolation","Anomalous",131534675,120013377,27404,28637,5,TRUE,FALSE,143566981,33.91254,"Normal"
"21664","Warning","PolicyViolation","Anomalous",132577462,144677251,33168,36040,6,FALSE,FALSE,150298246,24.6484,"Normal"
"273002","Warning","PolicyViolation","Elevated",145061943,231184281,51017,32310,6,FALSE,FALSE,100400343,32.31163,"Normal"
"159756","Warning","PolicyViolation","Anomalous",137860797,118798367,26421,38771,5,FALSE,FALSE,162060719,31.13366,"Normal"
"430989","Informational","PolicyViolation","Anomalous",137384292,139866332,33084,34920,7,TRUE,FALSE,152278335,29.46776,"Normal"
"77854","Warning","PolicyViolation","Suspicious",138861195,155088441,33843,33658,5,TRUE,FALSE,166523107,36.54861,"Normal"
"427325","Warning","PolicyViolation","Suspicious",134886767,180129439,40533,36052,6,TRUE,FALSE,128912103,31.21685,"Normal"
"370504","Warning","PolicyViolation","Suspicious",127847163,150878034,33555,27847,5,FALSE,TRUE,161606052,41.70158,"Normal"
"372503","Warning","PolicyViolation","Critical",125672514,60382888,14227,37796,4,TRUE,FALSE,187165228,31.751,"Normal"
"391045","Warning","PolicyViolation","Suspicious",129961203,171185945,37934,31719,5,FALSE,FALSE,121600733,30.64096,"Normal"
"1328","Warning","PolicyViolation","Anomalous",139432343,145606780,33643,50051,6,TRUE,FALSE,129073427,28.63697,"Normal"
"273643","Warning","PolicyViolation","Suspicious",131397765,158845230,34690,47682,5,TRUE,FALSE,156695920,23.64387,"Normal"
"363511","Warning","PolicyViolation","Anomalous",132285700,152243103,35246,46663,7,FALSE,FALSE,159120364,25.45076,"Normal"
"116370","Warning","PolicyViolation","Critical",121319535,110961201,24537,38125,5,TRUE,FALSE,133768745,36.17305,"Normal"
"83244","Warning","PolicyViolation","Anomalous",128541504,130796958,27996,18850,4,TRUE,TRUE,170478387,27.91151,"Normal"
"95550","Informational","PolicyViolation","Suspicious",119645566,142670750,30711,52487,5,FALSE,TRUE,183535911,29.87848,"Normal"
"449242","Warning","PolicyViolation","Critical",121197520,95275192,22956,39458,6,TRUE,FALSE,163258621,28.44702,"Normal"
"76163","Warning","PolicyViolation","Suspicious",140950524,177965368,40452,26497,6,TRUE,FALSE,142995411,16.67871,"Normal"
"137067","Warning","PolicyViolation","Suspicious",132886955,151060147,33630,28800,5,FALSE,FALSE,131003501,33.06615,"Normal"
"12840","Informational","PolicyViolation","Anomalous",128697965,110860516,27367,37222,7,TRUE,FALSE,103719221,32.33932,"Normal"
"63497","Warning","PolicyViolation","Suspicious",138527380,179417681,40400,29433,6,TRUE,FALSE,212957633,41.44714,"Normal"
"272473","Informational","ThreatDetected","Suspicious",133030953,193451622,41980,28602,6,FALSE,FALSE,182641229,34.18801,"Normal"
"121528","Warning","PolicyViolation","Anomalous",128872171,155998943,33165,32920,5,FALSE,FALSE,185241528,30.38017,"Normal"
"112494","Warning","PolicyViolation","Suspicious",135116905,140054451,30773,30104,4,FALSE,TRUE,191524226,28.67006,"Normal"
"243193","Warning","PolicyViolation","Suspicious",121926691,144097880,31923,21714,5,FALSE,TRUE,195171508,25.78561,"Normal"
"92016","Warning","NormalOperation","Anomalous",133171675,83262660,18339,39417,3,TRUE,TRUE,120983353,33.82658,"Normal"
"20220","Warning","PolicyViolation","Anomalous",119843464,96883829,20184,39624,3,FALSE,TRUE,142407954,36.83309,"Normal"
"27058","Warning","PolicyViolation","Suspicious",138832507,189595959,42296,37662,6,FALSE,FALSE,99347957,14.54471,"Normal"
"45526","Alert","PolicyViolation","Anomalous",126468863,146204996,34398,37034,7,TRUE,FALSE,115030038,25.88435,"Normal"
"165812","Warning","PolicyViolation","Anomalous",121142381,122990269,27925,16804,5,TRUE,FALSE,149059944,25.81167,"Normal"
"89247","Warning","PolicyViolation","Critical",137878014,80091880,20655,17804,6,TRUE,FALSE,139147188,37.24695,"Normal"
"312300","Informational","PolicyViolation","Suspicious",135974237,153547189,35110,40112,6,FALSE,FALSE,104242060,26.46272,"Normal"
"22308","Warning","PolicyViolation","Suspicious",128255029,167205966,37228,36824,5,FALSE,FALSE,186336772,23.646,"Normal"
"322339","Warning","PolicyViolation","Suspicious",135997889,176162857,39204,45412,5,FALSE,FALSE,172184299,20.85848,"Normal"
"459101","Warning","PolicyViolation","Anomalous",127535088,118886367,26710,40211,5,FALSE,FALSE,187394223,29.9814,"Normal"
"335036","Warning","ThreatDetected","Anomalous",121097463,85068555,21674,31060,5,FALSE,FALSE,143308992,16.93892,"Normal"
"122237","Warning","PolicyViolation","Anomalous",132930215,117875061,25267,30783,4,FALSE,FALSE,136456861,28.28692,"Normal"
"141492","Alert","PolicyViolation","Anomalous",119688797,118121719,24753,22774,4,TRUE,TRUE,140094908,23.12018,"Normal"
"234319","Alert","PolicyViolation","Anomalous",132983623,103615280,23811,39657,5,TRUE,FALSE,215854219,23.89594,"Normal"
"357590","Warning","PolicyViolation","Suspicious",134409534,182369370,40617,30014,6,TRUE,FALSE,131232279,32.86546,"Normal"
"163001","Warning","PolicyViolation","Suspicious",136390603,155153862,34969,34665,6,TRUE,FALSE,175806247,29.99516,"Normal"
"110091","Warning","PolicyViolation","Anomalous",127178882,122200470,27422,44345,5,FALSE,FALSE,109840302,15.16161,"Normal"
"196178","Warning","PolicyViolation","Suspicious",158225708,107349903,29543,24525,5,TRUE,FALSE,153667829,24.55235,"Normal"
"282791","Warning","ThreatDetected","Anomalous",130186502,129639785,28276,46891,4,TRUE,FALSE,158399141,34.62105,"Normal"
"236327","Warning","PolicyViolation","Anomalous",148625634,103436070,24892,39582,4,TRUE,FALSE,133683601,10.67498,"Normal"
"260394","Alert","PolicyViolation","Anomalous",126554325,149612042,31447,40821,4,TRUE,FALSE,111080056,27.28039,"Normal"
